,ORCA-Fusion-BT,ORCA-Fusion,ORCA_Flash4.0,Kinetix,iXon897Life,Panda4.2
567,0.788292683,0.788292683,0.917137476,0.960216998,0.993972488,0.977869521
568,0.787779791,0.787779791,0.917137476,0.960216998,0.993872408,0.979775739
569,0.785025784,0.785025784,0.917137476,0.960216998,0.993772329,0.981681957
570,0.784390244,0.784390244,0.917137476,0.960216998,0.993672249,0.983588175
571,0.784390244,0.784390244,0.917137476,0.960216998,0.993572169,0.985494393
572,0.784390244,0.784390244,0.917137476,0.960216998,0.993472089,0.987400612
573,0.784390244,0.784390244,0.917137476,0.960216998,0.99337201,0.987767584
574,0.784390244,0.784390244,0.917137476,0.960216998,0.99327193,0.987767584
575,0.784111498,0.784111498,0.917137476,0.960216998,0.99317185,0.987767584
576,0.781357491,0.781357491,0.917137476,0.960216998,0.99307177,0.988909276
577,0.780487805,0.780487805,0.917137476,0.960216998,0.992971691,0.990815494
578,0.780487805,0.780487805,0.917137476,0.960216998,0.992871611,0.990825688
579,0.780487805,0.780487805,0.917137476,0.960216998,0.993440191,0.990825688
580,0.780487805,0.780487805,0.917137476,0.960216998,0.994641148,0.990825688
581,0.780487805,0.780487805,0.917137476,0.960216998,0.994588517,0.992324159
582,0.780487805,0.780487805,0.917137476,0.960216998,0.99338756,0.993883792
583,0.780487805,0.780487805,0.915357815,0.960216998,0.992822967,0.993883792
584,0.780487805,0.780487805,0.915254237,0.960216998,0.992822967,0.993883792
585,0.779986063,0.779986063,0.915254237,0.960216998,0.992822967,0.993883792
586,0.777232056,0.777232056,0.915254237,0.960216998,0.992822967,0.993883792
587,0.776585366,0.776585366,0.915254237,0.959981917,0.992822967,0.994587156
588,0.776585366,0.776585366,0.915254237,0.95840868,0.992822967,0.996493374
589,0.776585366,0.776585366,0.915254237,0.95840868,0.992822967,0.996941896
590,0.776585366,0.776585366,0.915254237,0.95840868,0.992822967,0.996941896
591,0.776585366,0.776585366,0.915254237,0.95840868,0.992822967,0.996941896
592,0.776585366,0.776585366,0.915254237,0.95840868,0.992822967,0.996941896
593,0.776585366,0.776585366,0.913370998,0.95840868,0.992822967,0.996941896
594,0.776585366,0.776585366,0.913370998,0.95840868,0.992822967,0.995127421
595,0.776585366,0.776585366,0.913370998,0.959704641,0.992822967,0.993221203
596,0.776585366,0.776585366,0.913370998,0.960216998,0.992822967,0.991314985
597,0.776585366,0.776585366,0.913370998,0.960216998,0.992822967,0.990825688
598,0.776585366,0.776585366,0.913370998,0.960216998,0.992822967,0.990560652
599,0.776585366,0.776585366,0.913370998,0.962025316,0.992110048,0.988654434
600,0.776585366,0.776585366,0.913370998,0.962025316,0.990909091,0.987767584
601,0.776585366,0.776585366,0.911487759,0.962025316,0.989708134,0.987767584
602,0.776585366,0.776585366,0.911487759,0.963797468,0.988507177,0.985993884
603,0.776585366,0.776585366,0.911487759,0.963833635,0.988038278,0.98470948
604,0.776585366,0.776585366,0.911487759,0.963833635,0.988038278,0.98470948
605,0.776585366,0.776585366,0.911487759,0.963833635,0.988038278,0.983333333
606,0.776585366,0.776585366,0.911192718,0.963833635,0.988038278,0.981651376
607,0.776585366,0.776585366,0.90960452,0.963833635,0.988038278,0.981651376
608,0.776585366,0.776585366,0.90960452,0.963833635,0.988038278,0.980672783
609,0.776585366,0.776585366,0.90960452,0.963833635,0.9875311,0.978766565
610,0.776585366,0.776585366,0.909322034,0.963833635,0.986730463,0.978593272
611,0.776585366,0.776585366,0.907721281,0.963833635,0.985929825,0.978012232
612,0.776585366,0.776585366,0.907721281,0.96344786,0.985129187,0.976106014
613,0.776585366,0.776585366,0.907721281,0.962025316,0.984328549,0.975535168
614,0.776585366,0.776585366,0.90745135,0.962025316,0.983527911,0.975351682
615,0.776585366,0.776585366,0.905838041,0.962025316,0.983253589,0.973445464
616,0.776585366,0.776585366,0.905838041,0.961109102,0.983253589,0.972477064
617,0.776585366,0.776585366,0.905106717,0.960216998,0.983253589,0.972477064
618,0.776585366,0.776585366,0.903954802,0.960216998,0.983253589,0.970784913
619,0.776105923,0.776105923,0.903954802,0.959355033,0.983253589,0.96941896
620,0.773351916,0.773351916,0.902071563,0.95840868,0.983253589,0.96941896
621,0.772682927,0.772682927,0.902071563,0.95840868,0.982708134,0.968124363
622,0.772682927,0.772682927,0.901826742,0.957600964,0.981907496,0.966360856
623,0.772682927,0.772682927,0.900188324,0.956600362,0.981106858,0.966360856
624,0.772682927,0.772682927,0.899008161,0.956600362,0.98030622,0.965463812
625,0.772682927,0.772682927,0.898305085,0.955846896,0.979505582,0.963557594
626,0.772437631,0.772437631,0.898072819,0.954792043,0.978704944,0.963302752
627,0.769683624,0.769683624,0.896421846,0.954792043,0.9784689,0.962803262
628,0.768780488,0.768780488,0.896421846,0.954092827,0.9784689,0.960897044
629,0.768780488,0.768780488,0.894538606,0.952983725,0.97761244,0.960244648
630,0.768780488,0.768780488,0.894538606,0.952923448,0.976411483,0.960142712
631,0.768780488,0.768780488,0.894538606,0.951175407,0.976076555,0.958236493
632,0.767620906,0.767620906,0.892655367,0.951175407,0.976076555,0.957186544
633,0.764878049,0.764878049,0.892655367,0.951169379,0.976076555,0.957186544
634,0.764878049,0.764878049,0.892448211,0.949367089,0.976076555,0.955575943
635,0.764878049,0.764878049,0.890772128,0.949367089,0.975191388,0.95412844
636,0.764878049,0.764878049,0.890772128,0.949367089,0.973990431,0.95412844
637,0.764878049,0.764878049,0.890772128,0.94755877,0.973684211,0.952915392
638,0.762804181,0.762804181,0.888888889,0.94755877,0.973684211,0.951070336
639,0.76097561,0.76097561,0.888888889,0.945852923,0.972779904,0.951070336
640,0.76097561,0.76097561,0.888888889,0.945750452,0.971578947,0.951070336
641,0.76097561,0.76097561,0.88700565,0.945750452,0.971291866,0.951070336
642,0.76097561,0.76097561,0.88700565,0.944098855,0.971291866,0.94950051
643,0.760741463,0.760741463,0.88700565,0.943942134,0.970830144,0.948012232
644,0.757987456,0.757987456,0.885122411,0.942929476,0.970229665,0.948012232
645,0.757073171,0.757073171,0.885122411,0.942133816,0.969629187,0.948012232
646,0.757073171,0.757073171,0.883239171,0.942133816,0.969028708,0.947991845
647,0.757073171,0.757073171,0.883239171,0.941175407,0.967956938,0.946085627
648,0.754776307,0.754776307,0.881355932,0.940325497,0.966755981,0.944954128
649,0.753170732,0.753170732,0.880725047,0.940006028,0.965555024,0.944954128
650,0.753170732,0.753170732,0.879472693,0.938517179,0.964354067,0.944954128
651,0.753170732,0.753170732,0.877906466,0.938517179,0.963473684,0.944576962
652,0.751565157,0.751565157,0.876497175,0.938251959,0.962673046,0.942670744
653,0.749268293,0.749268293,0.873822976,0.936708861,0.961872408,0.941896024
654,0.749268293,0.749268293,0.871795355,0.936708861,0.96107177,0.941896024
655,0.749268293,0.749268293,0.870056497,0.93649789,0.960271132,0.941896024
656,0.748354007,0.748354007,0.867093534,0.934900542,0.959470494,0.94116208
657,0.7456,0.7456,0.865684244,0.934900542,0.958834928,0.939255861
658,0.745365854,0.745365854,0.864274953,0.934900542,0.95823445,0.93883792
659,0.745365854,0.745365854,0.86252354,0.934159132,0.957633971,0.93883792
660,0.745142857,0.745142857,0.860640301,0.933092224,0.957033493,0.93883792
661,0.74238885,0.74238885,0.858757062,0.932989753,0.956937799,0.937747197
662,0.741463415,0.741463415,0.856873823,0.931283906,0.956937799,0.935840979
663,0.741463415,0.741463415,0.855345261,0.931283906,0.95591866,0.935779817
664,0.741463415,0.741463415,0.85393597,0.931235684,0.954717703,0.935086646
665,0.741463415,0.741463415,0.852526679,0.929475588,0.953516746,0.933180428
666,0.740326132,0.740326132,0.851117389,0.929475588,0.952315789,0.932721713
667,0.737572125,0.737572125,0.849340866,0.927673297,0.95215311,0.932721713
668,0.737560976,0.737560976,0.847457627,0.927088608,0.95215311,0.932721713
669,0.737560976,0.737560976,0.845574388,0.925858951,0.951105263,0.931671764
670,0.737560976,0.737560976,0.843691149,0.92411091,0.949904306,0.929765545
671,0.737560976,0.737560976,0.842187696,0.923526221,0.948703349,0.929663609
672,0.735509408,0.735509408,0.840778406,0.922242315,0.947502392,0.929011213
673,0.733658537,0.733658537,0.839369115,0.920548523,0.946301435,0.927104995
674,0.733658537,0.733658537,0.837959824,0.918625678,0.945100478,0.925198777
675,0.733658537,0.733658537,0.836158192,0.917570826,0.944976077,0.923292559
676,0.733658537,0.733658537,0.834274953,0.91681736,0.944976077,0.92138634
677,0.73344669,0.73344669,0.831848713,0.914593128,0.943889952,0.919480122
678,0.730692683,0.730692683,0.828625235,0.913200723,0.942688995,0.917573904
679,0.729756098,0.729756098,0.827146893,0.911615431,0.941488038,0.915667686
680,0.729756098,0.729756098,0.824858757,0.911030741,0.940287081,0.913149847
681,0.729756098,0.729756098,0.822445072,0.908637734,0.939086124,0.909337411
682,0.729756098,0.729756098,0.81920904,0.907775769,0.937885167,0.906890928
683,0.729756098,0.729756098,0.817743252,0.90596745,0.936684211,0.904984709
684,0.729756098,0.729756098,0.814450722,0.905075347,0.935483254,0.903078491
685,0.72702439,0.72702439,0.813041431,0.904159132,0.934282297,0.901172273
686,0.725853659,0.725853659,0.809748901,0.902097649,0.93308134,0.899266055
687,0.725853659,0.725853659,0.807909605,0.900542495,0.933014354,0.897359837
688,0.725853659,0.725853659,0.805047081,0.899119952,0.933014354,0.894882773
